entity_id,entity_text,entity_type,code_predicted,code_source,confidence,code_gold,note
EL_001,tiểu đường,DISEASE,E11,ICD10,0.90,E11,Tên dân gian (Folk synonym)
EL_002,cao huyết áp,DISEASE,I10,ICD10,1.00,I10,Tên dân gian (Folk synonym)
EL_003,đau bao tử,DISEASE,UNLINKED,ICD10,0.00,,Triệu chứng (Folk synonym)
EL_004,nấm da,DISEASE,B35.9,ICD10,1.00,B35.9,Tên dân gian ngắn
EL_005,đau ngực,SYMPTOM,UNLINKED,ICD10,0.00,,Triệu chứng phổ biến
EL_006,tiểu đêm,SYMPTOM,UNLINKED,ICD10,0.00,,Triệu chứng tiết niệu
EL_007,ho kéo dài,SYMPTOM,UNLINKED,ICD10,0.00,,Triệu chứng hô hấp
EL_008,khó thở,SYMPTOM,UNLINKED,ICD10,0.00,,Triệu chứng hô hấp
EL_009,sốt cao,SYMPTOM,UNLINKED,ICD10,0.00,,Triệu chứng chung
EL_010,đau đầu,SYMPTOM,UNLINKED,ICD10,0.00,,Triệu chứng thần kinh
EL_011,chóng mặt,SYMPTOM,UNLINKED,ICD10,0.00,,Triệu chứng thần kinh
EL_012,buồn nôn,SYMPTOM,UNLINKED,ICD10,0.00,,Triệu chứng tiêu hóa
EL_013,xuất huyết tiêu hóa,DISEASE,UNLINKED,ICD10,0.00,K92.2,Tên y khoa chính thức
EL_014,Thalassemia,DISEASE,D56.9,ICD10,1.00,D56.9,Mã ICD cô lập D56.9
EL_015,Tan máu bẩm sinh,DISEASE,D56.9,ICD10,1.00,D56.9,Tên tiếng Việt của Thalassemia
EL_016,Viêm loét dạ dày,DISEASE,K25,ICD10,1.00,K25,Tên y khoa ICD-10 (K25)
EL_017,Đái tháo đường týp 2,DISEASE,E11,ICD10,1.00,E11,Tên y khoa ICD-10 (E11)
EL_018,Cao huyết áp,DISEASE,I10,ICD10,1.00,I10,Tên y khoa ICD-10 (I10)
EL_019,Thoái hóa khớp gối,DISEASE,M17,ICD10,1.00,M17,Tên y khoa ICD-10 (M17)
EL_020,Viêm phế quản cấp,DISEASE,J20.9,ICD10,1.00,J20.9,Tên y khoa ICD-10 (J20.9)
EL_021,Rung nhĩ,DISEASE,I48.9,ICD10,1.00,I48.9,Tên y khoa ICD-10 (I48)
EL_022,Suy tim sung huyết,DISEASE,I50.9,ICD10,1.00,I50.9,Tên y khoa ICD-10 (I50.9)
EL_023,Rối loạn lipid máu,DISEASE,E78.5,ICD10,1.00,E78.5,Tên y khoa ICD-10 (E78.5)
EL_024,Trào ngược dạ dày thực quản,DISEASE,K21.9,ICD10,1.00,K21.9,Tên y khoa ICD-10 (K21.9)
EL_025,Viêm da cơ địa,DISEASE,L20.9,ICD10,1.00,L20.9,Tên y khoa ICD-10 (L20.9)
EL_026,Hen phế quản,DISEASE,J45,ICD10,1.00,J45,Tên y khoa ICD-10 (J45.9)
EL_027,Bệnh phổi tắc nghẽn mạn tính,DISEASE,J44,ICD10,0.95,J44,Tên y khoa ICD-10 (J44.9)
EL_028,Phì đại lành tính tuyến tiền liệt,DISEASE,N40,ICD10,1.00,N40,Tên y khoa ICD-10 (N40)
EL_029,Nhiễm trùng đường tiết niệu,DISEASE,N39.0,ICD10,1.00,N39.0,Tên y khoa ICD-10 (N39.0)
EL_030,Đau thắt lưng,DISEASE,M54.5,ICD10,1.00,M54.5,Tên y khoa ICD-10 (M54.5)
EL_031,Meloxicam 15mg,DRUG,RXCUI:41493,RxNorm,0.95,RXCUI:41493,Thuốc có hàm lượng 15mg
EL_032,Meloxicam 7.5mg,DRUG,RXCUI:41493,RxNorm,0.95,RXCUI:41493,Thuốc có hàm lượng 7.5mg
EL_033,Hydrocortisone 10mg,DRUG,RXCUI:5492,RxNorm,0.95,RXCUI:5492,Thuốc có hàm lượng 10mg
EL_034,Paracetamol 500mg,DRUG,RXCUI:161,RxNorm,1.00,RXCUI:161,Thuốc biệt dược kèm hàm lượng
EL_035,Aspirin 81mg,DRUG,RXCUI:1191,RxNorm,1.00,RXCUI:1191,Thuốc kèm hàm lượng 81mg
EL_036,Omeprazole 20mg,DRUG,RXCUI:7646,RxNorm,1.00,RXCUI:7646,Thuốc kèm hàm lượng 20mg
EL_037,Metformin 500mg,DRUG,RXCUI:6809,RxNorm,1.00,RXCUI:6809,Thuốc kèm hàm lượng 500mg
EL_038,Warfarin 2.5mg,DRUG,RXCUI:11289,RxNorm,1.00,RXCUI:11289,Thuốc kèm hàm lượng 2.5mg
EL_039,Atorvastatin 20mg,DRUG,RXCUI:83367,RxNorm,1.00,RXCUI:83367,Thuốc kèm hàm lượng 20mg
EL_040,Lisinopril 10mg,DRUG,RXCUI:29046,RxNorm,1.00,RXCUI:29046,Thuốc kèm hàm lượng 10mg
EL_041,Tamsulosin 0.4mg,DRUG,RXCUI:77492,RxNorm,1.00,RXCUI:77492,Thuốc kèm hàm lượng 0.4mg
EL_042,Panadol Extra,DRUG,RXCUI:1872070,RxNorm,0.95,RXCUI:1872070,Biệt dược thương mại Việt Nam
EL_043,Amlor 5mg,DRUG,RXCUI:17767,RxNorm,1.00,RXCUI:17767,Biệt dược thương mại Việt Nam
EL_044,Eugica,DRUG,UNLINKED,RxNorm,0.00,,Biệt dược thương mại Việt Nam
EL_045,Hapacol,DRUG,RXCUI:161,RxNorm,1.00,RXCUI:161,Biệt dược thương mại Việt Nam
EL_046,Tanamol,DRUG,UNLINKED,RxNorm,0.00,,Biệt dược thương mại Việt Nam
EL_047,Clopidogrel 75mg,DRUG,RXCUI:32968,RxNorm,1.00,RXCUI:32968,Thuốc kháng tiểu cầu
EL_048,Salbutamol xịt,DRUG,RXCUI:435,RxNorm,0.95,RXCUI:435,Thuốc dạng xịt
EL_049,Insulin Glargine,DRUG,RXCUI:274783,RxNorm,0.95,RXCUI:274783,Thuốc sinh học insulin
