entity_name,entity_type,mapped_code,code_source,confidence
Bệnh Migraine,DISEASE,G43.9,ICD10,1.0
Bệnh phổi tắc nghẽn mạn tính,DISEASE,J44,ICD10,0.95
Cao huyết áp,DISEASE,I10,ICD10,1.0
Cường giáp,DISEASE,E05.9,ICD10,1.0
Hen phế quản,DISEASE,J45,ICD10,1.0
Loãng xương,DISEASE,ICD-UNKNOWN,UNKNOWN,
Mụn trứng cá,DISEASE,L70.0,ICD10,1.0
Nhiễm trùng đường tiết niệu,DISEASE,N39.0,ICD10,1.0
Nhồi máu não,DISEASE,I63,ICD10,1.0
Nấm da,DISEASE,B35.9,ICD10,1.0
Phì đại lành tính tuyến tiền liệt,DISEASE,N40,ICD10,1.0
Rung nhĩ,DISEASE,I48.9,ICD10,1.0
Ruột kích thích,DISEASE,ICD-UNKNOWN,UNKNOWN,
Rối loạn lipid máu,DISEASE,E78.5,ICD10,1.0
Rối loạn lo âu lan tỏa,DISEASE,F41.1,ICD10,1.0
Suy giáp,DISEASE,E03.9,ICD10,1.0
Suy tim sung huyết,DISEASE,I50.9,ICD10,1.0
Suy tuyến thượng thận,DISEASE,E27.4,ICD10,1.0
Sỏi thận,DISEASE,N20.0,ICD10,1.0
Thiếu máu thiếu sắt,DISEASE,D50.9,ICD10,1.0
Thoái hóa khớp,DISEASE,M19.9,ICD10,1.0
Thoát vị đĩa đệm cột sống thắt lưng,DISEASE,M51.2,ICD10,1.0
Trào ngược dạ dày thực quản,DISEASE,K21.9,ICD10,1.0
U xơ tử cung,DISEASE,D25.9,ICD10,1.0
Viêm da cơ địa,DISEASE,L20.9,ICD10,1.0
Viêm dạ dày ruột nhiễm khuẩn,DISEASE,A09,ICD10,1.0
Viêm gan vi-rút B mạn,DISEASE,B18.1,ICD10,1.0
Viêm gân vai,DISEASE,M75.2,ICD10,1.0
Viêm khớp dạng thấp,DISEASE,M06.9,ICD10,1.0
Viêm loét dạ dày,DISEASE,K29.7,ICD10,1.0
Viêm mũi dị ứng,DISEASE,J30.4,ICD10,1.0
Viêm mũi họng cấp,DISEASE,J00,ICD10,1.0
Viêm phế quản cấp,DISEASE,J20.9,ICD10,1.0
Viêm phổi,DISEASE,J18.9,ICD10,1.0
Viêm ruột thừa cấp,DISEASE,K35.8,ICD10,1.0
Viêm âm đạo do nấm,DISEASE,N76.0,ICD10,1.0
Xơ vữa động mạch cảnh,DISEASE,ICD-UNKNOWN,UNKNOWN,
Đa nang buồng trứng,DISEASE,E28.2,ICD10,1.0
Đau lưng dưới,DISEASE,M54.5,ICD10,1.0
Đái tháo đường týp 2,DISEASE,E11,ICD10,1.0
Động kinh,DISEASE,G40.9,ICD10,1.0
đau,DISEASE,ICD-UNKNOWN,UNKNOWN,
Alendronate 70mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Amlodipine 5mg,DRUG,RXCUI:4337,RXNORM_LOCAL,1.0
Amoxicillin 500mg,DRUG,RXCUI:723,RXNORM_LOCAL,1.0
Aspirin 81mg,DRUG,RXCUI:1191,RXNORM_LOCAL,1.0
Atorvastatin 20mg,DRUG,RXCUI:83367,RXNORM_LOCAL,1.0
Augmentin,DRUG,RXCUI:2193,RXNORM_LOCAL,1.0
Calcium,DRUG,RXCUI:1895,RXNAV_API,0.95
Carbamazepine 200mg,DRUG,RXCUI:2002,RXNORM_LOCAL,1.0
Cefixim 200mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Celecoxib 200mg,DRUG,RXCUI:2156,RXNORM_LOCAL,1.0
