icd_code,name_vi,removed_synonym,classification,verdict,approval,medical_reason
E11,Đái tháo đường týp 2,bệnh tiểu đường,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"'Đái tháo đường' là nhóm bệnh (týp 1 E10, thai kỳ O24, thứ phát); gán cứng vào E11 bỏ sót týp 1 vốn có trong chính từ điển này"
J18.9,Viêm phổi,viêm đường hô hấp dưới,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"LRTI là nhóm rộng gồm viêm phế quản, viêm tiểu phế quản, viêm phổi; thu hẹp thành viêm phổi là gán chẩn đoán"
M51.2,Thoát vị đĩa đệm cột sống thắt lưng,thoát vị đĩa đệm,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),Thoát vị đĩa đệm có thể ở cổ (M50.2) hay ngực; ép về thắt lưng là thu hẹp nhóm về một vị trí
E78.5,Rối loạn lipid máu,tăng cholesterol máu,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Tăng cholesterol đơn thuần là E78.0, một thành viên; rối loạn lipid máu còn gồm tăng triglyceride, giảm HDL, thể hỗn hợp"
H36.0,Biến chứng võng mạc,bệnh võng mạc đái tháo đường,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"H36.0 đúng ra chính là bệnh võng mạc ĐTĐ, còn name_vi 'biến chứng võng mạc' là nhóm rộng (còn gồm võng mạc do THA, bong võng mạc); hai vế lệch mức đặc hiệu"
K29.7,Viêm dạ dày,đau dạ dày,SYMPTOM_AS_DISEASE,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Đau thượng vị là TRIỆU CHỨNG, không phải chẩn đoán: có thể do viêm dạ dày, GERD, sỏi mật, tụy, thậm chí NMCT thành dưới"
I21,Nhồi máu cơ tim cấp,đột quỵ tim,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Từ báo chí mơ hồ, được dùng cho cả ngừng tim đột ngột/đột tử tim lẫn NMCT; ép về I21 là cam kết quá mức vào một chẩn đoán cấp cứu (rule 3)"
I63,Nhồi máu não,đột quỵ não,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Đột quỵ là nhóm gồm cả xuất huyết não (I61) ~15-20% ca, xử trí ngược nhau (tiêu sợi huyết vs đảo đông); thu hẹp về nhồi máu là nguy hiểm"
I63,Nhồi máu não,tai biến mạch máu não,CATEGORY_NARROWING,CHANGES_LINKING,DUYET TAY 5c (sai lam sang nang),TBMMN bao gồm cả thể xuất huyết (I60/I61); không đồng nhất với nhồi máu não
I63,Nhồi máu não,thiếu máu não cục bộ,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),Bao gồm cả cơn thiếu máu não thoáng qua (G45) vốn không có nhồi máu; ép về I63 là cam kết quá mức
J00,Viêm mũi họng cấp,nhiễm siêu vi hô hấp,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Nhóm rất rộng (cúm, COVID, RSV, viêm tiểu phế quản, viêm phổi virus); thu hẹp về cảm lạnh thông thường là gán chẩn đoán"
J02.9,Viêm họng,đau họng,SYMPTOM_AS_DISEASE,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Đau họng là TRIỆU CHỨNG: có thể do viêm họng, viêm amidan, trào ngược, viêm nắp thanh môn, áp xe thành sau họng, viêm giáp"
