icd_code,name_vi,synonym,classification,reason,violates_rule
I10,Bệnh cao huyết áp,tăng huyết áp,TRUE_SYNONYM,"Thuật ngữ y khoa chuẩn cho cao huyết áp; cùng khái niệm, cùng mức cam kết",NO
I10,Bệnh cao huyết áp,cao huyết áp,TRUE_SYNONYM,Cách nói thông dụng của tăng huyết áp; cùng khái niệm,NO
I10,Bệnh cao huyết áp,bệnh tăng huyết áp,TRUE_SYNONYM,Chỉ thêm tiền tố 'bệnh'; cùng khái niệm,NO
E11,Đái tháo đường týp 2,tiểu đường týp 2,TRUE_SYNONYM,"Tên dân gian của đái tháo đường týp 2; cùng khái niệm, cùng mức đặc hiệu",NO
E11,Đái tháo đường týp 2,tiểu đường tuýp 2,OTHER,Biến thể chính tả týp/tuýp của cùng một cụm từ,NO
E11,Đái tháo đường týp 2,đái tháo đường loại 2,TRUE_SYNONYM,'loại 2' = 'týp 2'; cùng khái niệm,NO
E11,Đái tháo đường týp 2,bệnh tiểu đường,CATEGORY_NARROWING,"'Đái tháo đường' là nhóm bệnh (týp 1 E10, thai kỳ O24, thứ phát); gán cứng vào E11 bỏ sót týp 1 vốn có trong chính từ điển này",YES
E11,Đái tháo đường týp 2,đái tháo đường tuýp 2,OTHER,Biến thể chính tả týp/tuýp của chính name_vi,NO
E10,Đái tháo đường týp 1,tiểu đường týp 1,TRUE_SYNONYM,Tên dân gian của đái tháo đường týp 1; cùng khái niệm,NO
E10,Đái tháo đường týp 1,tiểu đường tuýp 1,OTHER,Biến thể chính tả týp/tuýp,NO
J18.9,Viêm phổi,viêm phổi cấp,TRUE_SYNONYM,Viêm phổi J18.9 vốn là bệnh cảnh cấp; 'cấp' không đổi mức cam kết,NO
J18.9,Viêm phổi,viêm phế quản phổi,CATEGORY_NARROWING,"Bronchopneumonia là thể giải phẫu riêng, mã J18.0 khác J18.9; là một thành viên chứ không đồng nhất với viêm phổi nói chung",YES
J18.9,Viêm phổi,viêm đường hô hấp dưới,CATEGORY_NARROWING,"LRTI là nhóm rộng gồm viêm phế quản, viêm tiểu phế quản, viêm phổi; thu hẹp thành viêm phổi là gán chẩn đoán",YES
J18.9,Viêm phổi,viêm phổi cộng đồng,OTHER,"Biến thể đặc hiệu theo bối cảnh mắc bệnh; CAP không có mã riêng, vẫn về J18.9 khi chưa rõ tác nhân",NO
