node_name,code,dict_name_vi,name_source,rename_risk,in_corpus,corpus_samples,pinned_by_test
Bệnh Migraine,G43.9,Bệnh Migraine,ALIAS_MAP giu nguyen (name_vi='Bệnh Migraine'),NEO BOI ALIAS,YES,syn_074,NO
Bệnh phổi tắc nghẽn mạn tính,J44,Bệnh phổi tắc nghẽn mạn tính,ALIAS_MAP giu nguyen (name_vi='Bệnh phổi tắc nghẽn mạn tính'),NEO BOI ALIAS,YES,syn_051,NO
Cao huyết áp,I10,Tăng huyết áp,ALIAS_MAP gap ve (name_vi='Tăng huyết áp' -> 'Cao huyết áp'),NEO BOI ALIAS,YES,syn_001;syn_011;syn_052,YES
Cường giáp,E05.9,Cường giáp,ALIAS_MAP giu nguyen (name_vi='Cường giáp'),NEO BOI ALIAS,YES,syn_026,NO
Hen phế quản,J45,Hen phế quản,ALIAS_MAP giu nguyen (name_vi='Hen phế quản'),NEO BOI ALIAS,YES,syn_007;syn_013;syn_053,NO
Loãng xương,,,"CORPUS (node chua link, khong co record)",AN TOAN,YES,syn_025;syn_075,NO
Mụn trứng cá,L70.0,Mụn trứng cá,ALIAS_MAP giu nguyen (name_vi='Mụn trứng cá'),NEO BOI ALIAS,YES,syn_030;syn_054,NO
Nhiễm trùng đường tiết niệu,N39.0,Nhiễm trùng đường tiết niệu,ALIAS_MAP giu nguyen (name_vi='Nhiễm trùng đường tiết niệu'),NEO BOI ALIAS,YES,syn_076,NO
Nhồi máu não,I63,Nhồi máu não,ALIAS_MAP giu nguyen (name_vi='Nhồi máu não'),NEO BOI ALIAS,YES,syn_055,NO
Nấm da,B35.9,Nấm da,name_vi CHAY THANG ('Nấm da'),SE TU DOI TEN,YES,syn_041;syn_056,NO
Phì đại lành tính tuyến tiền liệt,N40,Phì đại lành tính tuyến tiền liệt,ALIAS_MAP giu nguyen (name_vi='Phì đại lành tính tuyến tiền liệt'),NEO BOI ALIAS,YES,syn_042;syn_077,NO
Rung nhĩ,I48.9,Rung nhĩ,ALIAS_MAP giu nguyen (name_vi='Rung nhĩ'),NEO BOI ALIAS,YES,syn_044;syn_057,NO
Ruột kích thích,,,"CORPUS (node chua link, khong co record)",AN TOAN,YES,syn_034;syn_078,NO
Rối loạn lipid máu,E78.5,Rối loạn lipid máu,ALIAS_MAP giu nguyen (name_vi='Rối loạn lipid máu'),NEO BOI ALIAS,YES,syn_010;syn_033;syn_058;syn_066,NO
Rối loạn lo âu lan tỏa,F41.1,Rối loạn lo âu lan tỏa,ALIAS_MAP giu nguyen (name_vi='Rối loạn lo âu lan tỏa'),NEO BOI ALIAS,YES,syn_059,NO
Suy giáp,E03.9,Suy giáp,ALIAS_MAP giu nguyen (name_vi='Suy giáp'),NEO BOI ALIAS,YES,syn_037;syn_060,NO
Suy tim sung huyết,I50.9,Suy tim sung huyết,ALIAS_MAP giu nguyen (name_vi='Suy tim sung huyết'),NEO BOI ALIAS,YES,syn_008;syn_022;syn_085,NO
Suy tuyến thượng thận,E27.4,Suy tuyến thượng thận,name_vi CHAY THANG ('Suy tuyến thượng thận'),SE TU DOI TEN,YES,syn_048;syn_061,NO
Sỏi thận,N20.0,Sỏi thận,ALIAS_MAP giu nguyen (name_vi='Sỏi thận'),NEO BOI ALIAS,YES,syn_031;syn_079,NO
Thiếu máu thiếu sắt,D50.9,Thiếu máu thiếu sắt,ALIAS_MAP giu nguyen (name_vi='Thiếu máu thiếu sắt'),NEO BOI ALIAS,YES,syn_017;syn_062,NO
Thoái hóa khớp,M19.9,Thoái hóa khớp,ALIAS_MAP giu nguyen (name_vi='Thoái hóa khớp'),NEO BOI ALIAS,YES,syn_014;syn_080,YES
Thoát vị đĩa đệm cột sống thắt lưng,M51.2,Thoát vị đĩa đệm cột sống thắt lưng,name_vi CHAY THANG ('Thoát vị đĩa đệm cột sống thắt lưng'),SE TU DOI TEN,YES,syn_009;syn_063,NO
Trào ngược dạ dày thực quản,K21.9,Trào ngược dạ dày thực quản,ALIAS_MAP giu nguyen (name_vi='Trào ngược dạ dày thực quản'),NEO BOI ALIAS,YES,syn_023;syn_086,NO
U xơ tử cung,D25.9,U xơ tử cung,ALIAS_MAP giu nguyen (name_vi='U xơ tử cung'),NEO BOI ALIAS,YES,syn_039;syn_064,NO
Viêm da cơ địa,L20.9,Viêm da cơ địa,ALIAS_MAP giu nguyen (name_vi='Viêm da cơ địa'),NEO BOI ALIAS,YES,syn_019,NO
Viêm dạ dày ruột nhiễm khuẩn,A09,Viêm dạ dày ruột nhiễm khuẩn,name_vi CHAY THANG ('Viêm dạ dày ruột nhiễm khuẩn'),SE TU DOI TEN,YES,syn_082,NO
Viêm gan vi-rút B mạn,B18.1,Viêm gan vi-rút B mạn,ALIAS_MAP giu nguyen (name_vi='Viêm gan vi-rút B mạn'),NEO BOI ALIAS,YES,syn_065,NO
Viêm gân vai,M75.2,Viêm gân vai,name_vi CHAY THANG ('Viêm gân vai'),SE TU DOI TEN,YES,syn_047;syn_067,NO
