Head,Relation,Tail,SourceSampleID,Negated
Metformin,PRESCRIBED_FOR,Đái tháo đường týp 2,"syn_001,syn_004,syn_015,syn_072",False
Aspirin 81mg,TREATS,Cơn đau thắt ngực,syn_002,False
Atorvastatin 20mg,TREATS,Cơn đau thắt ngực,syn_002,False
Ibuprofen,CONTRAINDICATED_FOR,Viêm loét dạ dày,syn_003,False
Omeprazole 20mg,PRESCRIBED_FOR,Trào ngược dạ dày thực quản,syn_003,False
Omeprazole 20mg,PRESCRIBED_FOR,Viêm loét dạ dày,"syn_003,syn_012,syn_087",False
Viêm ruột thừa cấp,HAS_SYMPTOM,Đau âm ỉ vùng hố chậu phải,syn_005,False
Amoxicillin 500mg,PRESCRIBED_FOR,Viêm phế quản cấp,syn_006,False
Salbutamol,PRESCRIBED_FOR,Hen phế quản,"syn_007,syn_053",False
Lisinopril 10mg,PRESCRIBED_FOR,Suy tim sung huyết,syn_008,False
Suy tim sung huyết,HAS_SYMPTOM,Phù hai chi dưới,syn_008,False
Furosemide 40mg,PRESCRIBED_FOR,Suy tim sung huyết,"syn_008,syn_022,syn_085",False
Diclofenac,PRESCRIBED_FOR,Thoát vị đĩa đệm cột sống thắt lưng,syn_009,False
Diclofenac,TREATS,Đau thần kinh tọa,syn_009,False
Atorvastatin 20mg,PRESCRIBED_FOR,Rối loạn lipid máu,"syn_010,syn_033,syn_058,syn_066,syn_081,syn_090,syn_094",False
Amlodipine 5mg,PRESCRIBED_FOR,Cao huyết áp,"syn_011,syn_052",False
Amoxicillin 500mg,PRESCRIBED_FOR,Viêm loét dạ dày,syn_012,False
Viêm loét dạ dày,HAS_SYMPTOM,Đau thượng vị,"syn_012,syn_087",False
Salbutamol,TREATS,Ho khan kéo dài,syn_013,False
Salbutamol,TREATS,Ho khan,syn_013,False
Celecoxib 200mg,PRESCRIBED_FOR,Thoái hóa khớp gối,syn_014,False
Celecoxib 200mg,TREATS,đau,syn_014,False
Thoái hóa khớp gối,HAS_SYMPTOM,Đau tăng khi vận động,syn_014,False
Bệnh Migraine,HAS_SYMPTOM,Đau dữ dội,syn_016,False
Bệnh Migraine,HAS_SYMPTOM,Cơn đau dữ dội,syn_016,False
Bệnh Migraine,HAS_SYMPTOM,Buồn nôn,"syn_016,syn_074",False
Ferrous sulfate,PRESCRIBED_FOR,Thiếu máu thiếu sắt,"syn_017,syn_062",False
Paracetamol 500mg,TREATS,Sốt 38.5 độ,syn_018,False
Viêm phế quản cấp,HAS_SYMPTOM,sốt,syn_018,False
Viêm phế quản cấp,HAS_SYMPTOM,ho,syn_018,False
Viêm phế quản cấp,HAS_SYMPTOM,Sốt 38.5 độ,syn_018,False
Viêm phế quản cấp,HAS_SYMPTOM,Ho nhiều,syn_018,False
Paracetamol 500mg,TREATS,sốt,"syn_018,syn_084",False
Hydrocortisone,PRESCRIBED_FOR,Viêm da cơ địa,syn_019,False
Hydrocortisone,TREATS,Ngứa,syn_019,False
Hydrocortisone,TREATS,Mảng đỏ,syn_019,False
Loratadine,PRESCRIBED_FOR,Viêm da cơ địa,syn_019,False
Loratadine,TREATS,Ngứa,syn_019,False
Viêm da cơ địa,HAS_SYMPTOM,Mảng đỏ,syn_019,False
