sentence_id,sample_id,sentence_text,entity_1,entity_2,relation_predicted,relation_gold,note
RE_001,syn_001,"Bệnh nhân nam 54 tuổi, có tiền sử Đái tháo đường týp 2 và Cao huyết áp 3 năm nay.",Metformin,Đái tháo đường týp 2,PRESCRIBED_FOR,,Có tiền sử
RE_002,syn_004,Tiền sử 5 năm điều trị bằng Metformin nhưng chưa ghi nhận biến chứng võng mạc.,Metformin,Đái tháo đường týp 2,PRESCRIBED_FOR,,Có phủ định; Có tiền sử
RE_003,syn_015,"Hiện tại bệnh nhân đang dùng Metformin 850mg, chưa ghi nhận biến chứng bàn chân hay bệnh võng mạc.",Metformin,Đái tháo đường týp 2,PRESCRIBED_FOR,,Có phủ định
RE_004,syn_072,"Bệnh nhân nữ 58 tuổi nhập viện với chẩn đoán xác định **Đái tháo đường týp 2**, lâm sàng ghi nhận tình trạng khát nước liên tục và sụt cân nhanh trong một tháng qua.",Metformin,Đái tháo đường týp 2,PRESCRIBED_FOR,,Chuyên khoa targeted_gap_fill
RE_005,syn_002,"Bệnh nhân nữ 42 tuổi, nhập viện vì Cơn đau thắt ngực cấp tính.",Aspirin 81mg,Cơn đau thắt ngực,TREATS,,Chuyên khoa ngoại khoa
RE_006,syn_002,"Bệnh nhân nữ 42 tuổi, nhập viện vì Cơn đau thắt ngực cấp tính.",Atorvastatin 20mg,Cơn đau thắt ngực,TREATS,,Chuyên khoa ngoại khoa
RE_007,syn_003,Bệnh nhân Viêm loét dạ dày kèm trào ngược dạ dày.,Ibuprofen,Viêm loét dạ dày,CONTRAINDICATED_FOR,,Chuyên khoa kê đơn thuốc
RE_008,syn_003,Đã kê Omeprazole 20mg.,Omeprazole 20mg,Trào ngược dạ dày thực quản,PRESCRIBED_FOR,,Chuyên khoa kê đơn thuốc
RE_009,syn_003,Bệnh nhân Viêm loét dạ dày kèm trào ngược dạ dày.,Omeprazole 20mg,Viêm loét dạ dày,PRESCRIBED_FOR,,Chuyên khoa kê đơn thuốc
RE_010,syn_012,Nội soi dạ dày chẩn đoán Viêm loét dạ dày tá tràng.,Omeprazole 20mg,Viêm loét dạ dày,PRESCRIBED_FOR,,Chuyên khoa Tiêu hóa
RE_011,syn_087,"Bệnh nhân nam 45 tuổi vào viện với chẩn đoán xác định **Viêm loét dạ dày**, kèm theo các triệu chứng lâm sàng cụ thể là đau thượng vị từng cơn và ợ chua nhiều về đêm.",Omeprazole 20mg,Viêm loét dạ dày,PRESCRIBED_FOR,,Chuyên khoa targeted_gap_fill
RE_012,syn_005,Bệnh nhân nữ 32 tuổi được chỉ định phẫu thuật nội soi do Viêm ruột thừa cấp.,Viêm ruột thừa cấp,Đau âm ỉ vùng hố chậu phải,HAS_SYMPTOM,,Chuyên khoa ngoại khoa
RE_013,syn_006,"Chỉ định điều trị cho bệnh nhân Viêm phế quản cấp: Amoxicillin 500mg uống 2 lần/ngày trong 7 ngày, kết hợp với Bromhexine 8mg để long đờm.",Amoxicillin 500mg,Viêm phế quản cấp,PRESCRIBED_FOR,,Chuyên khoa kê đơn thuốc
RE_014,syn_007,"Bệnh nhân có tiền sử 2 năm mắc Hen phế quản, hiện đang kiểm soát tốt bằng Salbutamol khi cần thiết.",Salbutamol,Hen phế quản,PRESCRIBED_FOR,,Có tiền sử
RE_015,syn_053,"Bệnh nhân nam 45 tuổi vào viện với chẩn đoán xác định **Hen phế quản**, biểu hiện qua các triệu chứng lâm sàng cụ thể gồm khó thở rít và ho khan kèm đờm trắng.",Salbutamol,Hen phế quản,PRESCRIBED_FOR,,Chuyên khoa targeted_gap_fill
RE_016,syn_008,Thăm khám lâm sàng bệnh nhân Suy tim sung huyết cho thấy tình trạng phù hai chi dưới.,Lisinopril 10mg,Suy tim sung huyết,PRESCRIBED_FOR,,Chuyên khoa nội khoa
