label,name,old_code,new_code,reason
DISEASE,Loãng xương,ICD-UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
DISEASE,Ruột kích thích,ICD-UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
DISEASE,Xơ vữa động mạch cảnh,ICD-UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
DRUG,Depakine Chrono 500mg,RXCUI-UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
DRUG,Diane-35,RXCUI-UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
DRUG,Salmeterol/Fluticasone 50/250 mcg,RXCUI-UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
DRUG,Trimebutin 200mg,RXCUI-UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
DRUG_GROUP,thuốc giãn cơ trơn,RXCUI-UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Buồn nôn,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Chiều cao cơ thể giảm,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Chóng mặt,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Chóng mặt kéo dài,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Chảy nước mũi nhiều,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Co cứng cơ cạnh sống thắt lưng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Co giật toàn thể cứng - gi clon,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Cơn co giật,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Cơn đau thắt ngực,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Cứng khớp buổi sáng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Cứng khớp buổi sáng kéo dài trên 1 giờ,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Da xanh xao,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Ho khan,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Ho khan kéo dài,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
