name,labels,label_count_on_node,nodes_with_this_exact_name,distinct_labels_for_this_exact_name,normalized_key,nodes_with_this_normalized_key,distinct_labels_for_normalized_key,collision_type,degree,in_degree,out_degree,source_sample_ids
Alendronate 70mg,DRUG,1,1,1,alendronate 70mg,1,1,NONE,1,0,1,syn_075
Amlodipine 5mg,DRUG,1,1,1,amlodipine 5mg,1,1,NONE,1,0,1,syn_011;syn_052
Amoxicillin 500mg,DRUG,1,1,1,amoxicillin 500mg,1,1,NONE,2,0,2,syn_012;syn_006
Aspirin 81mg,DRUG,1,1,1,aspirin 81mg,1,1,NONE,2,0,2,syn_055;syn_002
Atorvastatin 20mg,DRUG,1,1,1,atorvastatin 20mg,1,1,NONE,3,0,3,syn_093;syn_010;syn_033;syn_058;syn_066;syn_081;syn_090;syn_094;syn_002
Augmentin,DRUG,1,1,1,augmentin,1,1,NONE,1,0,1,syn_046;syn_068
Buồn nôn,SYMPTOM,1,1,1,buồn nôn,1,1,NONE,1,1,0,syn_016;syn_074
Bệnh Migraine,DISEASE,1,1,1,bệnh migraine,1,1,NONE,4,1,3,syn_074;syn_016
Bệnh phổi tắc nghẽn mạn tính,DISEASE,1,1,1,bệnh phổi tắc nghẽn mạn tính,1,1,NONE,3,1,2,syn_051;syn_024
Calcium,DRUG,1,1,1,calcium,1,1,NONE,1,0,1,syn_025
Cao huyết áp,DISEASE,1,1,1,cao huyết áp,1,1,NONE,3,1,2,syn_052;syn_011
Carbamazepine 200mg,DRUG,1,1,1,carbamazepine 200mg,1,1,NONE,1,0,1,syn_027
Cefixim 200mg,DRUG,1,1,1,cefixim 200mg,1,1,NONE,1,0,1,syn_076
Celecoxib 200mg,DRUG,1,1,1,celecoxib 200mg,1,1,NONE,2,0,2,syn_014
Cetirizine 10mg,DRUG,1,1,1,cetirizine 10mg,1,1,NONE,3,0,3,syn_035
Chiều cao cơ thể giảm,SYMPTOM,1,1,1,chiều cao cơ thể giảm,1,1,NONE,1,1,0,syn_075
Chóng mặt,SYMPTOM,1,1,1,chóng mặt,1,1,NONE,2,2,0,syn_094;syn_052
Chóng mặt kéo dài,SYMPTOM,1,1,1,chóng mặt kéo dài,1,1,NONE,1,1,0,syn_093
Chảy nước mũi nhiều,SYMPTOM,1,1,1,chảy nước mũi nhiều,1,1,NONE,2,2,0,syn_035
Clotrimazole,DRUG,1,1,1,clotrimazole,1,1,NONE,3,0,3,syn_070;syn_041
Co cứng cơ cạnh sống thắt lưng,SYMPTOM,1,1,1,co cứng cơ cạnh sống thắt lưng,1,1,NONE,1,1,0,syn_096
Co giật toàn thể cứng - gi clon,SYMPTOM,1,1,1,co giật toàn thể cứng - gi clon,1,1,NONE,1,1,0,syn_073
Corticoid,DRUG_GROUP,1,1,1,corticoid,1,1,NONE,1,0,1,syn_047
Cyproterone acetate 2mg,DRUG,1,1,1,cyproterone acetate 2mg,1,1,NONE,1,0,1,syn_071
Cơn co giật,SYMPTOM,1,1,1,cơn co giật,1,1,NONE,1,1,0,syn_073
Cơn đau thắt ngực,SYMPTOM,1,1,1,cơn đau thắt ngực,1,1,NONE,2,2,0,syn_002
Cường giáp,DISEASE,1,1,1,cường giáp,1,1,NONE,3,1,2,syn_026
Cứng khớp buổi sáng,SYMPTOM,1,1,1,cứng khớp buổi sáng,1,1,NONE,2,2,0,syn_080;syn_036
