node_name,code,source_sample_ids,n_samples,recovery_tier,recovered_surface,same_as_node_name
Bệnh Migraine,G43.9,syn_016;syn_074,2,VERBATIM,Bệnh Migraine,YES
Bệnh phổi tắc nghẽn mạn tính,J44,syn_024;syn_051,2,VERBATIM,Bệnh phổi tắc nghẽn mạn tính,YES
Cao huyết áp,I10,syn_011;syn_052,2,VERBATIM,Cao huyết áp,YES
Cường giáp,E05.9,syn_026,1,VERBATIM,Cường giáp,YES
Hen phế quản,J45,syn_007;syn_053,2,VERBATIM,Hen phế quản,YES
Loãng xương,,syn_025;syn_075,2,VERBATIM,Loãng xương,YES
Mụn trứng cá,L70.0,syn_030;syn_054,2,VERBATIM,Mụn trứng cá,YES
Nhiễm trùng đường tiết niệu,N39.0,syn_020;syn_076,2,VERBATIM,Nhiễm trùng đường tiết niệu,YES
Nhồi máu não,I63,syn_038;syn_055,2,VERBATIM,Nhồi máu não,YES
Nấm da,B35.9,syn_041;syn_056,2,VERBATIM,Nấm da,YES
Phì đại lành tính tuyến tiền liệt,N40,syn_042;syn_077,2,VERBATIM,Phì đại lành tính tuyến tiền liệt,YES
Rung nhĩ,I48.9,syn_044;syn_057,2,VERBATIM,Rung nhĩ,YES
Ruột kích thích,,syn_034;syn_078,2,VERBATIM,ruột kích thích,YES
Rối loạn lipid máu,E78.5,syn_010;syn_033;syn_058;syn_066;syn_081;syn_090;syn_094,7,VERBATIM,Rối loạn lipid máu,YES
Rối loạn lo âu lan tỏa,F41.1,syn_049;syn_059,2,VERBATIM,Rối loạn lo âu lan tỏa,YES
Suy giáp,E03.9,syn_037;syn_060,2,VERBATIM,Suy giáp,YES
Suy tim sung huyết,I50.9,syn_008;syn_022;syn_085,3,VERBATIM,Suy tim sung huyết,YES
Suy tuyến thượng thận,E27.4,syn_048;syn_061,2,VERBATIM,Suy tuyến thượng thận,YES
Sỏi thận,N20.0,syn_031;syn_079,2,VERBATIM,Sỏi thận,YES
Thiếu máu thiếu sắt,D50.9,syn_017;syn_062,2,VERBATIM,Thiếu máu thiếu sắt,YES
Thoái hóa khớp,M19.9,syn_014;syn_080,2,VERBATIM,Thoái hóa khớp,YES
Thoát vị đĩa đệm cột sống thắt lưng,M51.2,syn_009;syn_063,2,VERBATIM,Thoát vị đĩa đệm cột sống thắt lưng,YES
Trào ngược dạ dày thực quản,K21.9,syn_003;syn_023;syn_086,3,VERBATIM,Trào ngược dạ dày thực quản,YES
U xơ tử cung,D25.9,syn_039;syn_064,2,VERBATIM,U xơ tử cung,YES
Viêm da cơ địa,L20.9,syn_019,1,VERBATIM,Viêm da cơ địa,YES
Viêm dạ dày ruột nhiễm khuẩn,A09,syn_040;syn_082,2,VERBATIM,Viêm dạ dày ruột nhiễm khuẩn,YES
Viêm gan vi-rút B mạn,B18.1,syn_045;syn_065,2,VERBATIM,Viêm gan vi-rút B mạn,YES
Viêm gân vai,M75.2,syn_047;syn_067,2,VERBATIM,Viêm gân vai,YES
Viêm khớp dạng thấp,M06.9,syn_036;syn_083,2,VERBATIM,Viêm khớp dạng thấp,YES
Viêm loét dạ dày,K29.7,syn_003;syn_012;syn_087,3,VERBATIM,Viêm loét dạ dày,YES
Viêm mũi dị ứng,J30.4,syn_035,1,VERBATIM,Viêm mũi dị ứng,YES
Viêm mũi họng cấp,J00,syn_029;syn_084,2,VERBATIM,Viêm mũi họng cấp,YES
Viêm phế quản cấp,J20.9,syn_006;syn_018,2,VERBATIM,Viêm phế quản cấp,YES
Viêm phổi,J18.9,syn_046;syn_068,2,VERBATIM,Viêm phổi,YES
Viêm ruột thừa cấp,K35.8,syn_005;syn_069;syn_088;syn_092;syn_095,5,VERBATIM,Viêm ruột thừa cấp,YES
Viêm âm đạo do nấm,N76.0,syn_028;syn_070,2,VERBATIM,Viêm âm đạo do nấm,YES
Xơ vữa động mạch cảnh,,syn_090;syn_093,2,VERBATIM,xơ vữa động mạch cảnh,YES
Đa nang buồng trứng,E28.2,syn_050;syn_071,2,VERBATIM,Đa nang buồng trứng,YES
Đau lưng dưới,M54.5,syn_091;syn_096,2,KHONG KHOI PHUC DUOC,,NO
Đái tháo đường týp 2,E11,syn_001;syn_004;syn_015;syn_072,4,VERBATIM,Đái tháo đường týp 2,YES
Động kinh,G40.9,syn_027;syn_073,2,VERBATIM,Động kinh,YES
