Head,Relation,Tail,SourceSampleID
Metformin,PRESCRIBED_FOR,Đái tháo đường týp 2,"syn_001,syn_004,syn_015,syn_072"
Aspirin 81mg,TREATS,Cơn đau thắt ngực,syn_002
Atorvastatin 20mg,TREATS,Cơn đau thắt ngực,syn_002
Ibuprofen,CONTRAINDICATED_FOR,Viêm loét dạ dày,syn_003
Omeprazole 20mg,PRESCRIBED_FOR,Trào ngược dạ dày thực quản,syn_003
Omeprazole 20mg,PRESCRIBED_FOR,Viêm loét dạ dày,"syn_003,syn_012,syn_087"
Viêm ruột thừa cấp,HAS_SYMPTOM,Đau âm ỉ vùng hố chậu phải,syn_005
Amoxicillin 500mg,PRESCRIBED_FOR,Viêm phế quản cấp,syn_006
Salbutamol,PRESCRIBED_FOR,Hen phế quản,"syn_007,syn_053"
Lisinopril 10mg,PRESCRIBED_FOR,Suy tim sung huyết,syn_008
Suy tim sung huyết,HAS_SYMPTOM,Phù hai chi dưới,syn_008
Furosemide 40mg,PRESCRIBED_FOR,Suy tim sung huyết,"syn_008,syn_022,syn_085"
Diclofenac,PRESCRIBED_FOR,Thoát vị đĩa đệm cột sống thắt lưng,syn_009
Diclofenac,TREATS,Đau thần kinh tọa,syn_009
Atorvastatin 20mg,PRESCRIBED_FOR,Rối loạn lipid máu,"syn_010,syn_033,syn_058,syn_066,syn_081,syn_090,syn_094"
Amlodipine 5mg,PRESCRIBED_FOR,Cao huyết áp,"syn_011,syn_052"
Amoxicillin 500mg,PRESCRIBED_FOR,Viêm loét dạ dày,syn_012
Viêm loét dạ dày,HAS_SYMPTOM,Đau thượng vị,"syn_012,syn_087"
Salbutamol,TREATS,Ho khan kéo dài,syn_013
Salbutamol,TREATS,Ho khan,syn_013
Celecoxib 200mg,PRESCRIBED_FOR,Thoái hóa khớp gối,syn_014
Thoái hóa khớp gối,HAS_SYMPTOM,Đau tăng khi vận động,syn_014
Bệnh Migraine,HAS_SYMPTOM,Đau dữ dội,syn_016
Bệnh Migraine,HAS_SYMPTOM,Cơn đau dữ dội,syn_016
Bệnh Migraine,HAS_SYMPTOM,Buồn nôn,"syn_016,syn_074"
Ferrous sulfate,PRESCRIBED_FOR,Thiếu máu thiếu sắt,"syn_017,syn_062"
Paracetamol 500mg,TREATS,Sốt 38.5 độ,syn_018
Viêm phế quản cấp,HAS_SYMPTOM,sốt,syn_018
Viêm phế quản cấp,HAS_SYMPTOM,ho,syn_018
Viêm phế quản cấp,HAS_SYMPTOM,Sốt 38.5 độ,syn_018
Viêm phế quản cấp,HAS_SYMPTOM,Ho nhiều,syn_018
Paracetamol 500mg,TREATS,sốt,"syn_018,syn_084"
Hydrocortisone,PRESCRIBED_FOR,Viêm da cơ địa,syn_019
Hydrocortisone,TREATS,Ngứa,syn_019
Hydrocortisone,TREATS,Mảng đỏ,syn_019
Loratadine,PRESCRIBED_FOR,Viêm da cơ địa,syn_019
Loratadine,TREATS,Ngứa,syn_019
Viêm da cơ địa,HAS_SYMPTOM,Mảng đỏ,syn_019
Viêm da cơ địa,HAS_SYMPTOM,Ngứa,syn_019
Nhiễm trùng đường tiết niệu,HAS_SYMPTOM,Tiểu rắt,syn_020
Nhiễm trùng đường tiết niệu,HAS_SYMPTOM,Tiểu buốt,"syn_020,syn_076"
Esomeprazole 40mg,TREATS,ợ nóng,syn_023
Trào ngược dạ dày thực quản,HAS_SYMPTOM,ợ nóng,syn_023
Esomeprazole 40mg,PRESCRIBED_FOR,Trào ngược dạ dày thực quản,"syn_023,syn_086"
Bệnh phổi tắc nghẽn mạn tính,HAS_SYMPTOM,Khó thở khi gắng sức,"syn_024,syn_051"
Calcium,PRESCRIBED_FOR,Loãng xương,syn_025
Vitamin D3,PRESCRIBED_FOR,Loãng xương,syn_025
Cường giáp,HAS_SYMPTOM,Hồi hộp,syn_026
Cường giáp,HAS_SYMPTOM,Run tay,syn_026
Methimazole 5mg,PRESCRIBED_FOR,Cường giáp,syn_026
Methimazole 5mg,TREATS,Hồi hộp,syn_026
Methimazole 5mg,TREATS,Run tay,syn_026
Carbamazepine 200mg,PRESCRIBED_FOR,Động kinh,syn_027
Fluconazole 150mg,PRESCRIBED_FOR,Viêm âm đạo do nấm,syn_028
Viêm mũi họng cấp,HAS_SYMPTOM,Đau họng,syn_029
Viêm mũi họng cấp,HAS_SYMPTOM,Nuốt khó,syn_029
Isotretinoin 10mg,PRESCRIBED_FOR,Mụn trứng cá,syn_030
Sỏi thận,HAS_SYMPTOM,Đau quặn thận trái,syn_031
Ruột kích thích,HAS_SYMPTOM,Đau bụng,syn_034
Ruột kích thích,HAS_SYMPTOM,Đi ngoài phân lỏng,syn_034
Cetirizine 10mg,TREATS,Hắt hơi,syn_035
Cetirizine 10mg,TREATS,Chảy nước mũi nhiều,syn_035
Cetirizine 10mg,PRESCRIBED_FOR,Viêm mũi dị ứng,syn_035
Viêm mũi dị ứng,HAS_SYMPTOM,Hắt hơi,syn_035
Viêm mũi dị ứng,HAS_SYMPTOM,Chảy nước mũi nhiều,syn_035
Methotrexate 10mg/tuần,TREATS,Cứng khớp buổi sáng,syn_036
Viêm khớp dạng thấp,HAS_SYMPTOM,Cứng khớp buổi sáng,syn_036
Methotrexate 10mg/tuần,PRESCRIBED_FOR,Viêm khớp dạng thấp,"syn_036,syn_083"
Levothyroxine 50mcg,PRESCRIBED_FOR,Suy giáp,"syn_037,syn_060"
Nhồi máu não,HAS_SYMPTOM,Liệt nhẹ nửa người trái,syn_038
U xơ tử cung,HAS_SYMPTOM,Rong kinh,"syn_039,syn_064"
Oresol,TREATS,Đi ngoài 5 lần/ngày,syn_040
Viêm dạ dày ruột nhiễm khuẩn,HAS_SYMPTOM,Đi ngoài 5 lần/ngày,syn_040
Oresol,PRESCRIBED_FOR,Viêm dạ dày ruột nhiễm khuẩn,"syn_040,syn_082"
Clotrimazole,PRESCRIBED_FOR,Nấm da,syn_041
Phì đại lành tính tuyến tiền liệt,HAS_SYMPTOM,Tiểu đêm,syn_042
Tamsulosin 0.4mg,TREATS,Tiểu đêm,syn_042
Tamsulosin 0.4mg,PRESCRIBED_FOR,Phì đại lành tính tuyến tiền liệt,"syn_042,syn_077"
Warfarin 2.5mg,PRESCRIBED_FOR,Rung nhĩ,syn_044
Tenofovir 300mg,PRESCRIBED_FOR,Viêm gan vi-rút B mạn,"syn_045,syn_065"
Augmentin,PRESCRIBED_FOR,Viêm phổi,"syn_046,syn_068"
Corticoid,PRESCRIBED_FOR,Viêm gân vai,syn_047
Prednisolone 5mg,PRESCRIBED_FOR,Suy tuyến thượng thận,syn_048
Sertraline 50mg,PRESCRIBED_FOR,Rối loạn lo âu lan tỏa,syn_049
Sertraline 50mg,TREATS,Hồi hộp,syn_049
Sertraline 50mg,PRESCRIBED_FOR,Rối loạn lo âu,syn_049
Metformin,PRESCRIBED_FOR,Đa nang buồng trứng,syn_050
Bệnh phổi tắc nghẽn mạn tính,HAS_SYMPTOM,Ho khạc đờm nhầy mạn tính,syn_051
Salmeterol/Fluticasone 50/250 mcg,PRESCRIBED_FOR,Bệnh phổi tắc nghẽn mạn tính,syn_051
Cao huyết áp,HAS_SYMPTOM,Đau đầu vùng chẩm,syn_052
Cao huyết áp,HAS_SYMPTOM,Chóng mặt,syn_052
Cao huyết áp,HAS_SYMPTOM,Đau đầu,syn_052
Hen phế quản,HAS_SYMPTOM,Khó thở rít,syn_053
Hen phế quản,HAS_SYMPTOM,Ho khan,syn_053
Hen phế quản,HAS_SYMPTOM,Đờm trắng,syn_053
Mụn trứng cá,HAS_SYMPTOM,Sẩn đỏ viêm,syn_054
Mụn trứng cá,HAS_SYMPTOM,Nhân trứng cá đầu đen,syn_054
Aspirin 81mg,PRESCRIBED_FOR,Nhồi máu não,syn_055
Nhồi máu não,HAS_SYMPTOM,Liệt nửa người bên phải,syn_055
Nhồi máu não,HAS_SYMPTOM,Méo miệng,syn_055
Nhồi máu não,HAS_SYMPTOM,Khó nói,syn_055
Nấm da,HAS_SYMPTOM,Tổn thương da dạng vành cung có bờ viền rõ,syn_056
Nấm da,HAS_SYMPTOM,Ngứa,syn_056
Digoxin 0.25mg,PRESCRIBED_FOR,Rung nhĩ,syn_057
