Head,HeadCode,Relation,Tail,TailCode,SourceSampleID,Dosage
Alendronate,RXCUI:46041,PRESCRIBED_FOR,Loãng xương,,syn_075,70mg
Amlodipine,RXCUI:17767,PRESCRIBED_FOR,Cao huyết áp,I10,"syn_011,syn_052",5mg
Amoxicillin,RXCUI:723,PRESCRIBED_FOR,Viêm loét dạ dày,K25,syn_012,500mg
Amoxicillin,RXCUI:723,PRESCRIBED_FOR,Viêm phế quản cấp,J20.9,syn_006,500mg
Aspirin,RXCUI:1191,PRESCRIBED_FOR,Nhồi máu não,I63,syn_055,81mg
Aspirin,RXCUI:1191,TREATS,Cơn đau thắt ngực,,syn_002,81mg
Atorvastatin,RXCUI:83367,PRESCRIBED_FOR,Rối loạn lipid máu,E78.5,"syn_010,syn_033,syn_058,syn_066,syn_081,syn_090,syn_094",20mg
Atorvastatin,RXCUI:83367,PRESCRIBED_FOR,Xơ vữa động mạch cảnh,,syn_093,20mg
Atorvastatin,RXCUI:83367,TREATS,Cơn đau thắt ngực,,syn_002,20mg
Augmentin,RXCUI:48203,PRESCRIBED_FOR,Viêm phổi,J18.9,"syn_046,syn_068",
Bệnh Migraine,G43.9,HAS_SYMPTOM,Buồn nôn,,"syn_016,syn_074",
Bệnh Migraine,G43.9,HAS_SYMPTOM,Cơn đau dữ dội,,syn_016,
Bệnh Migraine,G43.9,HAS_SYMPTOM,Đau dữ dội,,syn_016,
Bệnh Migraine,G43.9,HAS_SYMPTOM,Đau đầu dữ dội,,syn_074,
Bệnh Migraine,G43.9,HAS_SYMPTOM,Đau đầu dữ dội theo mạch đập ở một bên thái dương,,syn_074,
Bệnh phổi tắc nghẽn mạn tính,J44,HAS_SYMPTOM,Ho khạc đờm nhầy mạn tính,,syn_051,
Bệnh phổi tắc nghẽn mạn tính,J44,HAS_SYMPTOM,Khó thở khi gắng sức,,"syn_024,syn_051",
Calcium,RXCUI:1895,PRESCRIBED_FOR,Loãng xương,,syn_025,
Cao huyết áp,I10,HAS_SYMPTOM,Chóng mặt,,syn_052,
Cao huyết áp,I10,HAS_SYMPTOM,Đau đầu,,syn_052,
Cao huyết áp,I10,HAS_SYMPTOM,Đau đầu vùng chẩm,,syn_052,
Carbamazepine,RXCUI:2002,PRESCRIBED_FOR,Động kinh,G40.9,syn_027,200mg
Cefixim,RXCUI:25033,PRESCRIBED_FOR,Nhiễm trùng đường tiết niệu,N39.0,syn_076,200mg
Celecoxib,RXCUI:140587,PRESCRIBED_FOR,Thoái hóa khớp gối,M17,syn_014,200mg
Cetirizine,RXCUI:20610,PRESCRIBED_FOR,Viêm mũi dị ứng,J30.4,syn_035,10mg
Cetirizine,RXCUI:20610,TREATS,Chảy nước mũi nhiều,,syn_035,10mg
Cetirizine,RXCUI:20610,TREATS,Hắt hơi,,syn_035,10mg
Clotrimazole,RXCUI:2623,PRESCRIBED_FOR,Nấm da,B35.9,syn_041,
Clotrimazole,RXCUI:2623,PRESCRIBED_FOR,Viêm âm đạo do nấm,B37.3,syn_070,
Clotrimazole,RXCUI:2623,TREATS,Viêm ngứa,,syn_070,
Cyproterone acetate,RXCUI:22054,PRESCRIBED_FOR,Đa nang buồng trứng,E28.2,syn_071,2mg
Cường giáp,E05.9,HAS_SYMPTOM,Hồi hộp,,syn_026,
Cường giáp,E05.9,HAS_SYMPTOM,Run tay,,syn_026,
Depakine Chrono,,PRESCRIBED_FOR,Động kinh,G40.9,syn_073,500mg
Depakine Chrono,,TREATS,Co giật toàn thể cứng - gi clon,,syn_073,500mg
Depakine Chrono,,TREATS,Cơn co giật,,syn_073,500mg
Diane-35,,PRESCRIBED_FOR,Đa nang buồng trứng,E28.2,syn_071,
Diclofenac,RXCUI:3355,PRESCRIBED_FOR,Sỏi thận,N20.0,syn_079,
Diclofenac,RXCUI:3355,PRESCRIBED_FOR,Thoát vị đĩa đệm cột sống thắt lưng,M51.2,syn_009,
Diclofenac,RXCUI:3355,TREATS,Đau quặn thận bên phải,,syn_079,
Diclofenac,RXCUI:3355,TREATS,Đau thần kinh tọa,,syn_009,
Digoxin,RXCUI:3407,PRESCRIBED_FOR,Rung nhĩ,I48.9,syn_057,0.25mg
Escitalopram,RXCUI:321988,PRESCRIBED_FOR,Rối loạn lo âu lan tỏa,F41.1,syn_059,10mg
Esomeprazole,RXCUI:283742,PRESCRIBED_FOR,Trào ngược dạ dày thực quản,K21.9,"syn_023,syn_086",40mg
Esomeprazole,RXCUI:283742,TREATS,ợ nóng,,syn_023,40mg
Ethinylestradiol,RXCUI:4124,PRESCRIBED_FOR,Đa nang buồng trứng,E28.2,syn_071,0.03mg
Ferrous sulfate,RXCUI:24947,PRESCRIBED_FOR,Thiếu máu thiếu sắt,D50.9,"syn_017,syn_062",
Fluconazole,RXCUI:4450,PRESCRIBED_FOR,Viêm âm đạo do nấm,B37.3,syn_028,150mg
Furosemide,RXCUI:4603,PRESCRIBED_FOR,Suy tim sung huyết,I50.9,"syn_008,syn_022,syn_085",40mg
Furosemide,RXCUI:4603,TREATS,Khó thở khi gắng sức,,syn_085,40mg
Furosemide,RXCUI:4603,TREATS,Phù chi dưới,,syn_085,40mg
Hen phế quản,J45,HAS_SYMPTOM,Ho khan,,syn_053,
Hen phế quản,J45,HAS_SYMPTOM,Khó thở rít,,syn_053,
Hen phế quản,J45,HAS_SYMPTOM,Đờm trắng,,syn_053,
Hydrocortisone,RXCUI:5492,PRESCRIBED_FOR,Suy tuyến thượng thận,E27.4,syn_061,10mg
